iter	Passed	Remaining
0	1	141
1	2	132
2	3	124
3	4	115
4	6	116
5	7	113
6	8	112
7	9	112
8	10	110
9	12	109
10	13	107
11	14	105
12	15	104
13	16	103
14	18	102
15	19	101
16	20	100
17	21	99
18	23	98
19	24	97
20	25	96
21	26	95
22	28	93
23	29	92
24	30	91
25	31	89
26	32	88
27	34	87
28	35	86
29	36	85
30	37	84
31	39	83
32	40	81
33	41	80
34	42	79
35	43	78
36	45	76
37	46	75
38	47	74
39	48	73
40	50	72
41	50	69
42	51	68
43	53	67
44	54	66
45	55	64
46	56	63
47	57	62
48	58	61
49	60	60
50	61	58
51	62	57
52	63	56
53	64	55
54	65	53
55	66	52
56	68	51
57	69	50
58	70	48
59	71	47
60	72	46
61	74	45
62	75	44
63	76	43
64	77	41
65	78	40
66	80	39
67	81	38
68	82	37
69	83	35
70	84	34
71	86	33
72	87	32
73	88	31
74	89	29
75	91	28
76	92	27
77	93	26
78	94	25
79	95	23
80	96	22
81	98	21
82	99	20
83	100	19
84	101	17
85	102	16
86	104	15
87	105	14
88	106	13
89	108	12
90	109	10
91	110	9
92	111	8
93	113	7
94	114	6
95	115	4
96	116	3
97	117	2
98	119	1
99	120	0
