iter	Passed	Remaining
0	129	129143
1	131	65546
2	133	44341
3	135	33748
4	138	27491
5	141	23375
6	143	20358
7	145	18042
8	147	16223
9	149	14770
10	151	13592
11	153	12665
12	155	11822
13	157	11104
14	159	10482
15	161	9950
16	164	9488
17	166	9083
18	169	8730
19	171	8395
20	173	8088
21	175	7799
22	177	7549
23	180	7322
24	182	7127
25	184	6928
26	187	6739
27	189	6562
28	191	6409
29	193	6263
30	196	6126
31	199	6049
32	202	5921
33	204	5801
34	206	5684
35	208	5575
36	211	5507
37	213	5406
38	215	5314
39	217	5221
40	219	5134
41	221	5058
42	224	5004
43	228	4964
44	230	4894
45	232	4826
46	234	4760
47	236	4699
48	240	4675
49	243	4617
50	244	4558
51	246	4500
52	249	4450
53	251	4405
54	254	4374
55	256	4326
56	258	4279
57	260	4234
58	262	4192
59	265	4153
60	267	4120
61	271	4102
62	273	4073
63	275	4035
64	277	3997
65	279	3960
66	282	3931
67	285	3916
68	287	3885
69	289	3850
70	291	3818
71	293	3784
72	295	3757
73	299	3745
74	301	3715
75	303	3687
76	305	3662
77	307	3633
78	309	3609
79	312	3591
80	316	3590
81	318	3566
82	319	3530
83	321	3507
84	323	3484
85	326	3466
86	329	3453
87	331	3430
88	333	3410
89	335	3390
90	337	3371
91	339	3352
92	342	3341
93	344	3322
94	346	3303
95	348	3283
96	350	3265
97	352	3248
98	355	3233
99	357	3220
100	361	3213
101	362	3195
102	365	3178
103	367	3169
104	370	3159
105	373	3149
106	375	3134
107	377	3118
108	379	3101
109	381	3086
110	383	3071
111	386	3064
112	388	3050
113	390	3036
114	392	3022
115	394	3008
116	396	2991
117	398	2978
118	401	2970
119	404	2968
120	406	2955
121	408	2941
122	410	2928
123	412	2916
124	415	2907
125	418	2904
126	420	2888
127	422	2876
128	424	2864
129	426	2851
130	427	2838
131	430	2830
132	433	2823
133	435	2812
134	437	2802
135	439	2792
136	441	2782
137	444	2775
138	449	2785
139	452	2776
140	454	2766
141	455	2752
142	457	2742
143	461	2741
144	463	2731
145	465	2721
146	467	2711
147	469	2701
148	471	2692
149	473	2684
150	476	2679
151	478	2669
152	480	2659
153	482	2650
154	484	2640
155	486	2631
156	488	2624
157	492	2622
158	494	2613
159	496	2605
160	497	2594
161	500	2589
162	502	2580
163	505	2576
164	507	2569
165	510	2562
166	512	2554
167	514	2545
168	516	2537
169	518	2531
170	522	2532
171	524	2524
172	526	2516
173	529	2515
174	532	2509
175	535	2505
176	538	2502
177	540	2495
178	542	2487
179	544	2481
180	547	2476
181	550	2475
182	552	2467
183	554	2459
184	556	2451
185	558	2445
186	560	2438
187	563	2433
188	567	2435
189	570	2433
190	572	2426
191	574	2419
192	577	2413
193	581	2413
194	583	2408
195	585	2401
196	587	2394
197	589	2386
198	591	2379
199	593	2375
200	597	2374
201	599	2368
202	601	2361
203	603	2354
204	605	2348
205	609	2349
206	611	2342
207	613	2336
208	615	2329
209	617	2323
210	619	2316
211	621	2311
212	625	2312
213	627	2306
214	629	2300
215	632	2294
216	634	2288
217	635	2281
218	639	2279
219	642	2276
220	644	2270
221	646	2264
222	648	2258
223	650	2252
224	652	2248
225	657	2251
226	659	2244
227	661	2238
228	663	2232
229	665	2227
230	669	2228
231	671	2223
232	673	2217
233	675	2210
234	677	2206
235	680	2203
236	682	2197
237	684	2192
238	686	2185
239	688	2180
240	690	2174
241	692	2170
242	694	2164
243	696	2159
244	698	2153
245	700	2147
246	702	2141
247	704	2136
248	707	2134
249	711	2134
250	713	2128
251	715	2123
252	717	2117
253	718	2111
254	721	2107
255	724	2105
256	726	2100
257	728	2094
258	730	2089
259	732	2084
260	734	2080
261	738	2078
262	739	2073
263	741	2068
264	743	2063
265	745	2058
266	748	2054
267	750	2049
268	753	2048
269	756	2045
270	758	2041
271	760	2035
272	762	2031
273	765	2027
274	768	2025
275	770	2020
276	772	2015
277	774	2011
278	776	2006
279	778	2002
280	782	2001
281	784	1996
282	786	1992
283	788	1987
284	790	1982
285	792	1978
286	794	1974
287	800	1977
288	802	1973
289	803	1968
290	805	1963
291	807	1958
292	809	1954
293	813	1952
294	815	1948
295	817	1943
296	819	1938
297	820	1933
298	822	1929
299	825	1926
300	827	1922
